index,name,email,password
index,name,email,password
1,"Savory House",demo+01-savory-house@bitecode.dev,Bitecode@123
2,"Golden Bistro",demo+02-golden-bistro@bitecode.dev,Bitecode@123
3,"Royal Corner",demo+03-royal-corner@bitecode.dev,Bitecode@123
4,"Garden Corner",demo+04-garden-corner@bitecode.dev,Bitecode@123
5,"Fresh Bistro",demo+05-fresh-bistro@bitecode.dev,Bitecode@123
6,"Garden Table",demo+06-garden-table@bitecode.dev,Bitecode@123
7,"Cozy Bistro",demo+07-cozy-bistro@bitecode.dev,Bitecode@123
8,"Spice District",demo+08-spice-district@bitecode.dev,Bitecode@123
9,"Golden District",demo+09-golden-district@bitecode.dev,Bitecode@123
10,"Cozy Corner",demo+10-cozy-corner@bitecode.dev,Bitecode@123
11,"Royal Corner",demo+11-royal-corner@bitecode.dev,Bitecode@123
12,"Cozy Harbor",demo+12-cozy-harbor@bitecode.dev,Bitecode@123
13,"Epic Oven",demo+13-epic-oven@bitecode.dev,Bitecode@123
14,"Royal Route",demo+14-royal-route@bitecode.dev,Bitecode@123
15,"Savory Fork",demo+15-savory-fork@bitecode.dev,Bitecode@123
16,"Urban Table",demo+16-urban-table@bitecode.dev,Bitecode@123
17,"Epic Oven",demo+17-epic-oven@bitecode.dev,Bitecode@123
18,"Epic Kitchen",demo+18-epic-kitchen@bitecode.dev,Bitecode@123
19,"Royal Corner",demo+19-royal-corner@bitecode.dev,Bitecode@123
20,"Epic Fork",demo+20-epic-fork@bitecode.dev,Bitecode@123
21,"Savory Oven",demo+21-savory-oven@bitecode.dev,Bitecode@123
22,"Urban House",demo+22-urban-house@bitecode.dev,Bitecode@123
23,"Epic Route",demo+23-epic-route@bitecode.dev,Bitecode@123
24,"Crave Kitchen",demo+24-crave-kitchen@bitecode.dev,Bitecode@123
25,"Urban Harbor",demo+25-urban-harbor@bitecode.dev,Bitecode@123
